4,1,
5,2,
6,3,
7,4,
8,5,wash left
9,6,wash left
10,7,wash left
11,8,wash left
12,9,wash left
13,10,wash left
14,11,wash left
15,12,wash left
16,13,wash left
8,1,
9,2,
10,3,wash left
11,4,wash left
12,5,wash left
13,6,wash left
14,7,wash left
15,8,wash left
16,9,wash left
17,10,wash left
18,11,wash left
19,12,wash left
24,13,dip right
25,14,dip right
11,1,
12,2,
13,3,wash left
14,4,wash left
15,5,wash left
16,6,wash left
17,7,wash left
18,8,wash left
19,9,wash left
20,10,wash left
21,11,wash left
22,12,wash left
23,13,wash left
24,14,wash left
28,15,wash left
29,16,wash left
31,17,wash left
32,18,dip left
7,1,dip left
8,2,dip left
9,3,dip left
10,4,dip left
11,5,wash left
12,6,wash left
13,7,wash left
14,8,wash left
15,9,wash left
16,10,wash right
17,11,wash left
18,12,wash left
19,13,wash left
20,14,wash left
21,15,wash left
8,1,dip left
9,2,dip left
10,3,wash left
11,4,wash left
12,5,wash left
13,6,wash left
14,7,wash left
15,8,wash left
16,9,wash left
17,10,wash left
18,11,wash left
19,12,dip left
20,13,wash left
21,14,wash left
22,15,wash left
23,16,wash left
